Aaliyah (np) 	Aaliyah (np.ant) 
Aoife (np) 	Aoife (np.ant) 
apêl	appeal (n) 
apeliad	appeal (n) 
apeliadau	appeal (n) 
apelio	appeal (vblex) 
apeliwr	appellant (n) 
apelydd	appellant (n) 
Apertium (np.org) 	Apertium (np.org) 
apig	apex (n) 
April (np) 	April (np.ant) 
apwyntiad	appointment (n) 
apwyntiadau	appointments (n) 
apwyntio	appoint (vblex) 
ar	
ar_adnau	on_deposit (adv) 
aradru	plough (vblex) 
arae	array (n) 
arafeiddiwch	deliberation (n) 
araf-ei-symud	slow-moving (adj) 
araf	slow (adj.sint) 
arafu	slow#_down (vblex) 
Aragón	Aragon (np.top) 
araith	speech (n) 
aralleirio	paraphrase (vblex) 
arallgyfeirio	redirect (vblex) 
arall	other (adj.pl) 
arall	other (adj.sg) 
Arantxa (np) 	Arantxa (np.ant) 
arbed#_arian	save#_money (vblex) 
arbed	save (vblex) 
arbelydriad	irradiation (n) 
arbelydru	irradiate (vblex) 
arbenigedd	expertise (n) 
arbenigol	specialist (adj) 
arbenigo	specialise (vblex) 
arbenigrwydd	speciality (n) 
arbenigwr	specialist (n) 
arbennig	special (adj) 
ar_ben	on_top_of (pr) 
arbrawf	experiment (n) 
arbrofiad	experiment (n) 
arbrofi	experiment (vblex) 
arbrofol	experimental (adj) 
ar_bwys	near (pr) 
arc	arc (n) 
archaeoleg	archaeology (n) 
archaeoleg	archaeology (n.unc) 
archaeolegol	archaeological (adj) 
arch	coffin (n) 
archdderwydd	archdruid (n) 
archeb	order (n) 
archebu	order (vblex) 
archeolegol	archaeological (adj) 
archfarchnad	hypermarket (n) 
archgyfrwng	hypermedia (n) 
Archibald (np) 	Archibald (np.ant) 
Archie (np) 	Archie (np.ant) 
archif	archive (n) 
archifo	archive (vblex) 
archifydd	archivist (n) 
archolladwy	vulnerable (adj) 
archolli	wound (vblex) 
archwaethu	savour (vblex) 
archwiliad	audit (n) 
archwiliedig	probed (adj) 
archwilio	inspect (vblex) 
archwiliwr	auditor (n) 
ardal	regional (adj) 
ardal	region (n) 
arddangos	display (vblex) 
arddangosedig	displayed (adj) 
arddangosfa	exhibition (n) 
arddangosiad	demo (n) 
arddangosiad	display (n) 
arddangosol	demo (adj) 
arddangosydd	display (n) 
ar_ddechrau	at_the_beginning_of (pr) 
arddel	acknowledge (vblex) 
ardderchog	excellent (adj) 
ar_ddisberod	astray (adv) 
arddodi	prefix (vblex) 
arddullio	style (vblex) 
arddull	style (n) 
arddweud	dictate (vblex) 
ar_draul	at_the_expense_of (adv) 
ardrawiad	impact (n) 
ar_draws	across (pr) 
ardrefniant	settlement (n) 
ar_dy_ben_dy_hun	on_your_own (adv) 
ardystiedig	certified (adj) 
ardystio	pledge (vblex) 
aredig	plough (vblex) 
ar_ei_ben_ei_hun	on_his_own (adv) 
ar_eich_pen_eich_hun	on_your_own (adv) 
ar_eich_pennau_eich_hun	on_your_own (adv) 
ar_ei_hôl_hi	running_late (adv) 
ar_ein_pennau_ein_hun	on_our_own (adv) 
ar_ei_phen_ei_hun	on_her_own (adv) 
areithio	make#_a_speech (vblex) 
areithyddiaeth	elocution (n) 
arestio	arrest (vblex) 
areulder	serenity (n) 
ar_eu_liwt_eu_hunain	on_their_own_account (adv) 
ar_eu_pennau_eu_hun	on_their_own (adv) 
arfaeth	destiny (n) 
arfaethedig	designed (adj) 
arfaethu	intend (vblex) 
arfarniad	assessment (n) 
ar_fedr	on_the_point_of (pr) 
arferadwy	habitual (adj) 
arfer	habit (n) 
arferiad	custom (n) 
arferol	usual (adj) 
arferu	be#_accustomed (vblex) 
arfer	use (vblex) 
ar_fin	on_the_point_of (pr) 
arfog	armed (adj) 
arfogi	arm (vblex) 
arfordir	coast (n) 
arfordirol	coastal (adj) 
arf	weapon (n) 
ar_fy_mhen_fy_hun	on_my_own (adv) 
ar_gael	available (adv) 
argaeledd	availability (n) 
argeisio	seek (vblex) 
arglwyddiaethu	govern (vblex) 
arglwydd	lord (n) 
ar_goedd	publicly (adv) 
argraffadwy	printable (adj) 
argraffedig	printed (adj) 
argraffiad	edition (n) 
argraff	impression (n) 
argraffu-ar-alw	print-on-demand (adj) 
argraffu	print (vblex) 
argraffwr	printer (n) 
argraffydd	printer (n) 
ar_gyfartaledd	on_average (adv) 
ar_gyfer	for (pr) 
argyfwng	crisis (n) 
argyfwng	emergency (n) 
ar_gyfyl	near (pr) 
argyfyngus	critical (adj) 
argyhoeddiadol	convincing (adj) 
argyhoeddi	convince (vblex) 
argymelledig	recommended (adj) 
argymell	recommend (vblex) 
argymhelliad	recommendation (n) 
ar_hap	at_random (adv) 
arholiad	examination (n) 
arholi	examine (vblex) 
arhosiad	stay (n) 
arhosol	permanent (adj) 
ar_hyd	along (pr) 
ar_hyn_o_bryd	at_the_moment (adv) 
Ariadna (np) 	Ariadna (np.ant) 
arian_breiniol (n.GD) 	currency (n) 
arian_bygwth (n.GD) 	blackmail (n) 
arian	money (n.unc) 
Ariannin	Argentina (np.top) 
ariannol	monetary (adj) 
ariannu	finance (vblex) 
arian	silver (n) 
arithmetig	arithmetic (n) 
Arizona	Arizona (np.top) 
Arkansas	Arkansas (np.top) 
ar-lein	online (adj) 
arlein	online (adj) 
arlliw	shade (n) 
arlliw	tint (n) 
arllwys	pour (vblex) 
arloesedd	innovation (n) 
arloesi	pioneer (vblex) 
arloesol	innovative (adj) 
arlunio	paint (vblex) 
arlunydd	artist (n) 
arlwyo	cater (vblex) 
arlywyddiaeth	presidency (n) 
Armenia	Armenia (np.top) 
Arnald (np) 	Arnald (np.ant) 
arnofio	float (vblex) 
Arnold (np) 	Arnold (np.ant) 
Aroa (np) 	Aroa (np.ant) 
ar_ochr	on_the_side_of (pr) 
aroglau	smell (n) 
arogldarth	incense (n) 
arogldarthu	burn#_incense (vblex) 
arogli	smell (vblex) 
arogl	smell (n) 
ar_ôl	after (cnjsub) 
ar_ôl	after (pr) 
ar_oledd	sloping (adv) 
arolwg	overview (n) 
arolwg	survey (n) 
ar_ôl_y_cwbl	after_all (adv) 
arolygiad	inspection (n) 
arolygiaeth	inspectorate (n) 
arolygol	inspecting (adj) 
arolygu	supervise (vblex) 
arolygwr	inspector (n) 
arolygydd	inspector (n) 
ar	on (pr) 
aros	wait (vblex) 
Arran (np) 	Arran (np.ant) 
Arron (np) 	Arron (np.ant) 
arsefydliad	installation (n) 
arsefydlydd	installer (n) 
arswydo	dread (vblex) 
arsyllu	scan (vblex) 
arsylwad	observation (n) 
arsylwi	observe (vblex) 
arteithio	torture (vblex) 
arthio	growl (vblex) 
Arthur (np) 	Arthur (np.ant) 
artiffisial	artificial (adj) 
artist	artist (n) 
artistig	artistic (adj) 
ar_un_adeg	at_one_time (adv) 
arunigo	isolate (vblex) 
arunigol	standalone (adj) 
ar_unrhyw_adeg	at_any_time (adv) 
aruthrol	awesome (adj) 
aruthrol	wonderful (adj) 
arwaesaf	guarantor (n) 
arwahanol	discrete (adj) 
arwahanrwydd	isolation (n) 
arwain	lead (vblex) 
arweddu	bear (vblex) 
arweiniad	guidance (n) 
arweiniad	guide (n) 
arweiniad	introduction (n) 
arweiniol	introductory (adj) 
arweiniol	leading (adj) 
arweinyddiaeth	leadership (n.unc) 
arweinydd	leader (n) 
arweinyddol	leadership (adj) 
Arwel (np) 	Arwel (np.ant) 
Arwen (np) 	Arwen (np.ant) 
arwerthiant	auction (n) 
ar_werth	on_sale (adv) 
arwerthu	auction (vblex) 
arwisgo	enrobe (vblex) 
arwr	hero (n) 
arwybod	awareness (n) 
arwyddair	motto (n) 
arwyddocâd	significance (n) 
arwyddocaol	significant (adj) 
arwyddocáu	signify (vblex) 
arwyddo#_deiseb	sign#_a_petition (vblex) 
arwyddo	sign (vblex) 
arwydd	sign (n) 
arwynebedd	area (n) 
arwynebeddau	areas (n) 
arwyneb	surface (n) 
arwystlo	pledge (vblex) 
arwystl	security (n.unc) 
ar_y_goriwaered	in_decline (adv) 
ar_y_gweill	in_progress (adv) 
ar_y_gweill	on_the_go (adv) 
ar_ymyl	on_the_edge_of (pr) 
ar_yr_un_pryd	at_the_same_time (adv) 
asbestos	asbestos (n) 
ased	asset (n) 
aseiniad	assignment (n) 
asembli	assembly (n) 
Aserbaijan	Azerbaijan (np.top) 
asesiad	assessment (n) 
asesu	assess (vblex) 
aseswyr	assessors (n) 
asesydd	assessor (n) 
asetig	acetic (adj) 
asetylsalisylig	acetylsalicylic (adj) 
asgell	wing (n) 
asgetiaeth	asceticism (n) 
asgwrn	bone (n) 
asgwrneiddio	ossify (vblex) 
Ashleigh (np) 	Ashleigh (np.ant) 
Ashley (np) 	Ashley (np.ant) 
Ashton (np) 	Ashton (np.ant) 
Asia	Asia (np.top) 
asiantaeth	agency (n) 
asiant	agent (n) 
asid	acid (n) 
asideiddio	acidify (vblex) 
asio	join (vblex) 
AS	MP (n) 
astroleg	astrology (n) 
astudiaeth	study (n) 
astudio	study (vblex) 
Asturias	Asturias (np.top) 
asur	azure (adj) 
atafaelu	sequester (vblex) 
ataliad	prevention (n.unc) 
ataliol	deterrent (adj) 
atalnod	comma (n) 
atalnodi	punctuate (vblex) 
atal	prevent (vblex) 
atchwelyd	regress (vblex) 
ateb	answer (n) 
ateb	answer (vblex) 
atebol	answerable (adj) 
atebolrwydd	accountability (n) 
atebolrwydd	liability (n) 
ategiad	corroboration (n) 
ategol	auxiliary (adj) 
ategu	support (vblex) 
ategyn	plugin (n) 
atglafychu	become#_ill_again (vblex) 
atgnoi	feel#_remorse (vblex) 
atgoffaol	reminiscent (adj) 
atgoffa	remind (vblex) 
atgoffáu	remind (vblex) 
atgof	reminder (n) 
atgryfhau	recover#_health (vblex) 
atgyfannu	reintegrate (vblex) 
atgyflyru	recondition (vblex) 
atgyfnerthu	replenish (vblex) 
atgyfodi	resurrect (vblex) 
atgynhyrchu	reproduce (vblex) 
atgyweiriad	repair (n) 
atgyweirio	repair (vblex) 
a	that (rel) 
Athen	Athens (np.top) 
athrawes	teacher (n) 
athrawiaethu	indoctrinate (vblex) 
athreiddio	penetrate (vblex) 
athrodi	slander (vblex) 
athrofa	institute#_of_education (n) 
athroniaeth	philosophy (n) 
athroniaethu	philosophise (vblex) 
athronyddu	philosophise (vblex) 
athro	teacher (n) 
at_hynny	besides_that (adv) 
atmosffer	atmosphere (n) 
atodedig	attached (adj) 
atodiad	appendix (n) 
atodi	append (vblex) 
atodlen	supplement (n) 
atodol	supplementary (adj) 
atolygu	beseech (vblex) 
atomeiddio	atomise (vblex) 
atomiaeth	atomism (n) 
atomig	atomic (adj) 
atred	offset (n) 
atsain	echo (n) 
atseinio	resound (vblex) 
at	towards (pr) 
atwrneiaeth	attorneyship (n) 
atyfu	regrow (vblex) 
atyniad	attraction (n) 
atynnu	attract (vblex) 
Audrey (np) 	Audrey (np.ant) 
Augsburg	Augsburg (np.top) 
aur	gold (n.unc) 
Ava (np) 	Ava (np.ant) 
awchlymu	sharpen (vblex) 
awchu	whet (vblex) 
awdio	audio (adj) 
awdiolegydd	audiologist (n) 
awdl	ode (n) 
awdur	author (n) 
awdurdodaeth	authoritarianism (n) 
awdurdodaidd	authoritarian (adj) 
awdurdod	authority (n) 
awdurdodedig	authorised (adj) 
awdurdodiad	authorisation (n) 
awdurdodi	authorise (vblex) 
awdurdodol	authoritative (adj) 
awdures	author (n) 
awel	breeze (n) 
awen	muse (n) 
awenyddu	versify (vblex) 
awgrym	hint (n) 
awgrymiad	suggestion (n) 
awgrymu	suggest (vblex) 
â	with (pr) 
awrgrymedig	suggested (adj) 
awr	hour (n) 
awrol	hourly (adj) 
awrwydr	hourglass (n) 
Awst	August (n) 
Awstralia	Australia (np.top) 
Awstria	Austria (np.top) 
awtistiaeth	autism (n) 
awto	auto (adj) 
awtomatiaeth	automation (n) 
awtomatig	automatic (adj) 
awydd	desire (n) 
awyddu	desire (vblex) 
awyddus	eager (adj) 
awyrborth	airport (n) 
awyren	aeroplane (n) 
awyrgylch	atmosphere (n) 
awyro	ventilate (vblex) 
awyr	sky (n) 
Ayden (np) 	Ayden (np.ant) 
Ayla (np) 	Ayla (np.ant) 
ayyb	etc (adv) 
Azerbaijan	Azerbaijan (np.top) 
baban	baby (n) 
babanu	spoil (vblex) 
babi	baby (n) 
bachgen	boy (n) 
bach	small (adj.sint) 
bachu	hook (vblex) 
bacio	back (vblex) 
bacsu	muddle#_through (vblex) 
bacterioleg	bacteriology (n) 
bae	bay (n) 
Bae_Caerdydd	Cardiff_Bay (np.top) 
baeddu	soil (vblex) 
baetio	bait (vblex) 
bagadu	cluster (vblex) 
bag	bag (n) 
Baghdad	Baghdad (np.top) 
bagio	bag (vblex) 
baglu	trip (vblex) 
bag#_plastig	plastic_bag (n) 
Bahamas	Bahamas (np.top) 
Bahrain	Bahrain (np.top) 
Bahrein	Bahrain (np.top) 
baich	burden (n) 
bai	fault (n) 
Bailey (np) 	Bailey (np.ant) 
Baker (np) 	Baker (np.cog) 
balast	ballast (n) 
Balcanau	Balkans (np.top) 
balchder	pride (n) 
balch	proud (adj.sint) 
baldorddi	babble (vblex) 
Baldwin (np) 	Baldwin (np.ant) 
balisteg	ballistics (n) 
bancawio	bind (vblex) 
banc	bank (n) 
bancio	bank (vblex) 
Banc_Lloegr (np.org) 	Bank_of_England (np.org) 
bancr	fender (n) 
band	band (n) 
band#_pres	brass_band (n) 
baner	flag (n) 
baneru	flag#_up (vblex) 
Bangkok	Bangkok (np.top) 
Bangladesh	Bangladesh (np.top) 
Bangor	Bangor (np.top) 
ban	peak (n) 
bara	bread (n) 
Barbados	Barbados (np.top) 
Barbara (np) 	Barbara (np.ant) 
Bàrbara (np) 	Bàrbara (np.ant) 
barbareiddio	barbarise (vblex) 
barbariaeth	barbarism (n) 
bar	bar (n) 
barbio	clip#_hedge (vblex) 
Barcelona	Barcelona (np.top) 
barcud	kite (n) 
barcuta	hang-glide (vblex) 
Barddas	magazine#_about_poetry (n) 
barddas	poetics (n) 
barddoniaeth	poetry (n) 
barddoni	write#_poetry (vblex) 
bardd	poet (n) 
bargeinio	bargain (vblex) 
bargen	bargain (n) 
bargodi	project (vblex) 
bario	bar (vblex) 
baritôn	baritone (n) 
Barker (np) 	Barker (np.cog) 
Barnard (np) 	Barnard (np.ant) 
barneisio	varnish (vblex) 
Barnes (np) 	Barnes (np.cog) 
barn	opinion (n) 
barnu	judge (vblex) 
barnwr	judge (n) 
barnwrol	judgemental (adj) 
Barry (np) 	Barry (np.ant) 
Bartholomew (np) 	Bartholomew (np.ant) 
Bartomeu (np) 	Bartomeu (np.ant) 
barugo	get#_frosty (vblex) 
bas	bass (adj) 
basged	basket (n) 
basgedu	put#_in_a_basket (vblex) 
Basgeg	Basque (adj) 
bas	shallow (adj) 
bat	bat (n) 
Baterich (np) 	Baterich (np.ant) 
bath	bath (n) 
bathodi	coin (vblex) 
bathodyn	badge (n) 
Batholomew (np) 	Batholomew (np.ant) 
bathu	coin (vblex) 
batingo	hoe (vblex) 
batio	bat (vblex) 
batri	battery (n) 
bawdfedi	reap#_by_hand (vblex) 
bawd	thumb (n) 
baw	mud (n) 
BBC2 (np.org) 	BBC2 (np.org) 
BBC_Cymru (np.org) 	BBC_Cymru (np.org) 
BBC_Radio_Cymru (np.org) 	BBC_Radio_Cymru (np.org) 
Beatrice (np) 	Beatrice (np.ant) 
Beatrix (np) 	Beatrix (np.ant) 
Becca (np) 	Becca (np.ant) 
Becky (np) 	Becky (np.ant) 
beddadail	mausoleum (n) 
bedd	grave (n) 
bedyddio	baptise (vblex) 
begian	beg (vblex) 
Beibl	Bible (n) 
beic	bike (n) 
beichiogi	conceive (vblex) 
beichiogrwydd	pregnancy (n) 
beichio	sob (vblex) 
beicio	cycle (vblex) 
beiddio	dare (vblex) 
Beijing	Peking (np.top) 
beio	blame (vblex) 
beirniad	adjudicator (n) 
beirniadaeth	adjudication (n) 
beirniadaeth	criticism (n) 
beirniadol	critical (adj) 
beirniadu	criticise (vblex) 
Beirut	Beirut (np.top) 
beit	byte (n) 
Belarus	Belarus (np.top) 
Belarws	Byelorussia (np.top) 
Belg	Belgium (np.top) 
Belîs	Belize (np.top) 
Belize	Belize (np.top) 
Bell (np) 	Bell (np.cog) 
Belorwsia	Belarus (np.top) 
bendigedig	wonderful (adj) 
bendigo	consecrate (vblex) 
bendith	blessing (n) 
bendithio	bless (vblex) 
Benedict (np) 	Benedict (np.ant) 
Benet (np) 	Benet (np.ant) 
Benin	Benin (np.top) 
Benîn	Benin (np.top) 
Benjamin (np) 	Benjamin (np.ant) 
Benllech	Benllech (np.top) 
Bennet (np) 	Bennet (np.ant) 
Bennett (np) 	Bennett (np.cog) 
Ben (np) 	Ben (np.ant) 
benthyca	lend (vblex) 
benthyciad	loan (n) 
benthycio	borrow (vblex) 
benthyg	loan (n) 
benywaidd	feminine (adj) 
benyweta	whore (vblex) 
benyw	female (adj) 
Beograd	Belgrade (np.top) 
berfenw	verbal_noun (n) 
berf	verb (n) 
Bermiwda	Bermuda (np.top) 
Bermo	Barmouth (np.top) 
Bernard (np) 	Bernard (np.ant) 
Bernat (np) 	Bernat (np.ant) 
berwbwynt	boiling-point (n) 
berweddu	brew (vblex) 
berwi	boil (vblex) 
bet	bet (n) 
Bethan (np) 	Bethan (np.ant) 
Bethany (np) 	Bethany (np.ant) 
Beth (np) 	Beth (np.ant) 
beth	what (prn) 
betio	bet (vblex) 
beunyddiol	daily (adj) 
Beverley (np) 	Beverley (np.ant) 
Bev (np) 	Bev (np.ant) 
Bhutan	Bhutan (np.top) 
Bhwtan	Bhutan (np.top) 
bib	bleep (n) 
bidio	bid (vblex) 
bidogi	bayonet (vblex) 
Biel (np) 	Biel (np.ant) 
bihafio	behave (vblex) 
bil	bill (n) 
bilio	bill (vblex) 
biliwn	billion (n) 
biliynfed	billionth (adj) 
Billie (np) 	Billie (np.ant) 
Billy (np) 	Billy (np.ant) 
bin	bin (n) 
binomaidd	binomial (adj) 
bioamrywiaeth	biodiversity (n) 
bioleg	biology (n.unc) 
biolegol	biological (adj) 
biomeddygol	biomedical (adj) 
bipiwr	bleeper (n) 
Birmingham	Birmingham (np.top) 
bisg	bisque (adj) 
bisged	biscuit (n) 
bisgïen	biscuit (n) 
Biwmaris	Beaumaris (np.top) 
biwrocratiaeth	bureaucracy (n) 
Black (np) 	Black (np.cog) 
Blaenafon	Blaenafon (np.top) 
Blaenau_Ffestiniog	Blaenau_Ffestiniog (np.top) 
Blaenau_Gwent	Blaenau_Gwent (np.top) 
blaenbrofi	anticipate (vblex) 
blaendal	deposit (n) 
blaendaliad	deposit (n) 
blaendalu	pay#_in_advance (vblex) 
blaendarddu	sprout (vblex) 
blaenddodi	prefix (vblex) 
blaendir	foreground (n) 
blaendorri	truncate (vblex) 
blaen	front (n) 
blaengaredd	initiative (n) 
blaengaredd	progressiveness (n) 
blaengar	progressive (adj) 
blaengynllunio	blueprint (vblex) 
blaenllaw	leading (adj) 
blaenllym	keen (adj.sint) 
blaenllymu	sharpen (vblex) 
blaenlythyren	initial_letter (n) 
blaenol	leading (adj) 
blaenolwg	front_view (n) 
blaenoriaethol	priority (adj) 
blaenoriaethu	take#_precedence (vblex) 
blaenori	precede (vblex) 
blaenorol	previous (adj) 
blaenwybodaeth	advance_information (n) 
blaenwybodaeth	foreknowledge (n) 
blaguro	sprout (vblex) 
blaidd	wolf (n) 
Blair (np) 	Blair (np.ant) 
Blake (np) 	Blake (np.ant) 
Blanca (np) 	Blanca (np.ant) 
Blanche (np) 	Blanche (np.ant) 
blas	flavour (n) 
blas	taste (n) 
blasuso	flavour (vblex) 
blasu	taste (vblex) 
blawd	flour (n) 
ble (adv) 	where (adv.itg) 
Blears (np) 	Blears (np.cog) 
blewyn	hair (n) 
blin	annoyed (adj) 
blinder	weariness (n.unc) 
blingo	skin (vblex) 
blino	tire (vblex) 
bloc	block (n) 
blocio	block (vblex) 
blodeuo	flower (vblex) 
blodio	make#_meal (vblex) 
blodyn	flower (n) 
bloeddio	shout (vblex) 
bloesgi	speak#_indistinctly (vblex) 
blonegu	grease (vblex) 
blotio	blot (vblex) 
blwch	box (n) 
blwydd	year (n) 
blwyddyn	year (n) 
blynedd	year (n.pl) 
blynyddol	annual (adj) 
blysio	crave (vblex) 
blysu	crave (vblex) 
bob_amser	always (adv) 
Bobby (np) 	Bobby (np.ant) 
Bob (np) 	Bob (np.ant) 
boch	cheek (n) 
bochio	gobble (vblex) 
bocs	box (n) 
bocsio	box (vblex) 
bod	
bod#_angen	there_be#_a_need (vbser) 
bod	be (vbser) 
boddhad	satisfaction (n) 
boddhaol	satisfactory (adj) 
boddhau	please (vblex) 
boddhaus	satisfactory (adj) 
boddi	drown (vblex) 
boddloni	gratify (vblex) 
bodd	pleasure (n) 
boddro	bother (vblex) 
bodio	thumb (vblex) 
bodlon	content (adj) 
bodloni	satisfy (vblex) 
bodolaeth	existence (n) 
bodoli	exist (vblex) 
bod#_yn_rhaid	have (vblex) 
boglynnu	emboss (vblex) 
Bogotá	Bogota (np.top) 
bola	belly (n) 
bolaheulo	sunbathe (vblex) 
bol	belly (n) 
bolheulo	sunbathe (vblex) 
Bolifia	Bolivia (np.top) 
Bolivia	Bolivia (np.top) 
bolltio	bolt (vblex) 
bomio	bomb (vblex) 
bôn	base (n) 
bonclustio	box#_on_the_ears (vblex) 
bond	bond (n) 
bongamu	waddle (vblex) 
bonheddig	gentlemanly (adj) 
bôn	stump (n) 
bonws	bonus (n) 
booleaidd	Boolean (adj) 
border	border (n) 
Bord_na_Gaidhlig (np.org) 	Bord_na_Gaidhlig (np.org) 
bore	morning (n) 
Borja (np) 	Borja (np.ant) 
bors	hernia (n) 
Bosna_a_Hercegovina	Bosnia_and_Herzegovina (np.top) 
Bosnia_a_Hertsegofina	Bosnia_and_Herzegovina (np.top) 
Bosnia	Bosnia_and_Herzegovina (np.top) 
Botswana	Botswana (np.top) 
botwm	button (n) 
botymu	button (vblex) 
Bourne (np) 	Bourne (np.cog) 
bowlio	bowl (vblex) 
bownsio	bounce (vblex) 
Boyd (np) 	Boyd (np.ant) 
bracso	pull#_through (vblex) 
bradfwriadu	conspire (vblex) 
Bradley (np) 	Bradley (np.ant) 
bradlofruddio	assassinate (vblex) 
bradu	betray (vblex) 
bradychu	betray (vblex) 
braenaru	fallow (vblex) 
braenu	decay (vblex) 
braf	fine (adj.sint) 
bragaldio	jabber (vblex) 
bragio	brag (vblex) 
brag	malt (n) 
bragu	brew (vblex) 
braich	arm (n) 
braidd	rather (adv) 
braint	privilege (n) 
brand	brand (n) 
Brandon (np) 	Brandon (np.ant) 
brasamcan	approximation (n) 
brasáu	fatten (vblex) 
brasbwytho	baste (vblex) 
brasbwythu	sew#_with_large_stitches (vblex) 
bras	fat (adj.sint) 
brasgamu	stride (vblex) 
Brasil	Brazil (np.top) 
Brasília	Brasilia (np.top) 
brasio	do#_a_rough_job (vblex) 
braslunio	sketch (vblex) 
braslun	sketch (n) 
brasnaddu	rough-hew (vblex) 
bras	rough (adj.sint) 
braster	fat (n) 
brathu	bite (vblex) 
brawd	brother (n) 
brawddeg	sentence (n) 
brawddegu	phrase (vblex) 
brawychu	terrify (vblex) 
Brayden (np) 	Brayden (np.ant) 
brechu	vaccinate (vblex) 
brecio	brake (vblex) 
brecwasta	breakfast (vblex) 
brecwast	breakfast (n) 
breferu	bellow (vblex) 
brefu	bleat (vblex) 
bregus	brittle (adj.sint) 
bregysu	ferment (vblex) 
breicheidio	embrace (vblex) 
breichio	link#_arms (vblex) 
breinio	honour (vblex) 
breintiedig	privileged (adj) 
breintio	honour (vblex) 
breisgáu	become#_fat (vblex) 
breisgio	become#_fat (vblex) 
Brendan (np) 	Brendan (np.ant) 
brenhinol	royal (adj) 
brenin	king (n) 
brest	breast (n) 
brest	chest (n) 
breuddwyd	dream (n) 
breuddwydio	dream (vblex) 
breuhau	become#_fragile (vblex) 
breuo	become#_brittle (vblex) 
brewlan	drizzle (vblex) 
Brian (np) 	Brian (np.ant) 
bricio	brick (vblex) 
bricsen	brick (n) 
Bridget (np) 	Bridget (np.ant) 
Bridgetown	Bridgetown (np.top) 
bridio	breed (vblex) 
brifo	hurt (vblex) 
brigbori	browse (vblex) 
brig	crest (n) 
brigdorri	lop (vblex) 
brigladd	lop#_the_top_off (vblex) 
brigo	sprout (vblex) 
bri	renown (n) 
britho	dapple (vblex) 
brith	speckled (adj) 
brithwaith	tessellation (n) 
briwio	mince (vblex) 
briwlan	drizzle (vblex) 
briwlio	broil (vblex) 
briwo	crush (vblex) 
briwsioni	make#_crumbs (vblex) 
brochi	foam (vblex) 
Brodie (np) 	Brodie (np.ant) 
brodio	embroider (vblex) 
brodorol	indigenous (adj) 
Brody (np) 	Brody (np.ant) 
Brogan (np) 	Brogan (np.ant) 
brolio	boast (vblex) 
Bro_Morgannwg	Vale_of_Glamorgan (np.top) 
bron	almost (adv) 
bron	breast (n) 
Brooke (np) 	Brooke (np.ant) 
bro	region (n) 
brown	brown (adj.sint) 
Brown (np) 	Brown (np.cog) 
Bruce (np) 	Bruce (np.ant) 
brudio	prophesy (vblex) 
Brunei	Brunei_Darussalam (np.top) 
brwdfrydedd	enthusiasm (n.unc) 
brwdfrydig	enthusiastic (adj) 
brwd	hot (adj.sint) 
Brwnei	Brunei (np.top) 
brws	brush (n) 
Brwsel	Brussels (np.top) 
brwsio	brush (vblex) 
brwydr	battle (n) 
brwydro	fight (vblex) 
brwylio	broil (vblex) 
brwyno	grieve (vblex) 
brwysgio	stir (vblex) 
Bryan (np) 	Bryan (np.ant) 
Bryce (np) 	Bryce (np.ant) 
Brycheiniog	Brecon (np.top) 
brychu	fleck (vblex) 
brydio	intend (vblex) 
bryd	mind (n) 
bryn	hill (n) 
brysgerdded	walk#_briskly (vblex) 
brys	haste (n) 
brysio	hurry (vblex) 
Bryste	Bristol (np.top) 
bryweddu	brew (vblex) 
buanedd	speed (n) 
buan	soon (adj) 
buarthu	pen (vblex) 
bucheddu	reside (vblex) 
buchfrechu	vaccinate (vblex) 
budd	benefit (n) 
budd-dal	social_security_payment (n) 
budd-ddeiliad	beneficiary (n) 
buddiant	gain (n) 
buddiol	beneficial (adj) 
buddioli	profit (vblex) 
buddio	profit (vblex) 
buddsoddiad	investment (n) 
buddsoddi	invest (vblex) 
buddugoliaeth	victory (n) 
budr	dirty (adj.sint) 
budrelwa	profiteer (vblex) 
budron	dirty (adj.sint) 
budro	soil (vblex) 
Buenos_Aires	Buenos_Aires (np.top) 
bufrechiad	vaccination (n) 
bugeilio	shepherd (vblex) 
bugunad	bellow (vblex) 
Burkina	Burkina_Faso (np.top) 
